Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Range (km),Available Colors,Max Horsepower (Ps)_is_imputed,Seat Height (mm)_is_imputed,Curb Weight (kg)_is_imputed,Fuel Tank Capacity (L)_is_imputed,Max Speed (km/h)_is_imputed
三業 赛博150,14880,Three,Pedal,domestic,Zhejiang Dalong Jinchen Vehicle Manufacturing Co,single cylinder four stroke water-cooled 150cc,12.9,9.5/8500,CVT continuously variable transmission automatic transmission,standard,xx(mm),1970x740x1240,760.0,142.0,11.0,95.0,2.3,400,Not Specified,False,False,False,False,False
破界 戈王,8980,breakthrough,Pedal,domestic,Guangdong Taitian New Energy Technology Co,single cylinder four stroke water-cooled 150cc,12.8,9.4/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1900x710x1130,760.0,112.0,8.6,100.0,2.5,Not specified,Not Specified,False,False,False,False,False
斐兔 MotoE,Currently no quotation available,Feitu,Sports car,domestic production,Not Specified,Not Specified,145.5,107/,Not Specified,Not specified,Not specified,Not Specified,770.0,130.0,9.0,95.0,Not Specified,Not specified,Not Specified,False,True,True,True,True
斐兔 FW-06,22800,Feitu,Pedal,domestic,Jiangsu Century Lanxiang Motorcycle Co,Not Specified,12.6,Not Specified,Not Specified,standard,xx(mm),1830x755x1095,784.0,125.0,9.0,110.0,Not Specified,140,"Classic Tech Green, Graffiti Space Grey, Dazzling Obsidian Black",True,False,False,True,False
斐兔 M壹,9800,Feitu,Mini,Domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1190x565x805,600.0,53.0,9.0,25.0,Not Specified,100,"Amber yellow, Cedar green",False,False,False,True,False
斐兔 FW-03,15900,Feitu,Mini,Domestic,Not Specified,Not Specified,5.7,4.2/,Not Specified,standard,xx(mm),1683x766x1002,763.0,130.0,9.0,50.0,Not Specified,120,Not Specified,False,False,True,True,False
斐兔 FW-07,Currently no quotation available,Feitu,Mini,Domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,Not specified,Not specified,1751x670x910,770.0,130.0,9.0,95.0,Not Specified,Not specified,Not Specified,True,True,True,True,True
斐兔 GT-03,Currently no quotation available,Feitu,Bending beam,domestic,Not Specified,Not Specified,5.7,4.2/,Not Specified,standard,xx(mm),1850x774x1080,780.0,130.0,9.0,50.0,Not Specified,120,Not Specified,False,False,True,True,False
斐兔 FW-03概念车,Currently no quotation available,Feitu,Three wheel,Domestic,Not Specified,Not specified,12.6,Not Specified,Not specified,Not specified,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,True,True,True,False,True
斐兔 TOOZ,Currently no quotation available,Feitu,Not Specified,domestic production,Not Specified,Not Specified,12.6,Not Specified,Not Specified,standard,Not specified,Not Specified,770.0,130.0,9.0,200.0,Not Specified,700,Not Specified,True,True,True,True,False
MBY Mini A,Currently no quotation available,MBY,Mini,Domestic,Not Specified,single cylinder four stroke air-cooled 110cc,7.3,5.4/7500,Not specified,Not specified,Not specified,1690x813x1028,770.0,130.0,6.0,75.0,2.7,Not specified,Not Specified,False,False,True,False,False
MBY MR150,Currently no quotation available,MBY,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,14.3,10.5/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,1995x780x1280,780.0,130.0,11.0,105.0,2.5,Not specified,Not Specified,False,False,True,False,False
MBY 玉兔,Currently no quotation available,MBY,Pedal,domestic,Not Specified,single cylinder four stroke air-cooled 125cc,8.8,6.5/7500,CVT continuously variable transmission automatic transmission,Not specified,Not specified,1880x750x1150,780.0,130.0,6.0,85.0,2.7,Not specified,Not Specified,False,False,True,False,False
华洋 SX 50-A,1090,Huayang,Off road,Domestic,Not Specified,single cylinder two-stroke air-cooled 50cc,2.4,1.8/7000,Not specified,Not Specified,Not specified,1200x550x790,570.0,22.0,1.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
华洋 K2L,6700,Huayang,Off road,Domestic,Not Specified,single cylinder four stroke air-cooled,16.3,12/7500,Not specified,Not specified,Not specified,1890x760x1140,770.0,98.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,False,False,True
华洋 T2,7900,Huayang,Off road,Domestic,Not Specified,single cylinder four stroke air-cooled 250cc,16.3,12/7000,Not specified,Not Specified,Not specified,2070x820x1150,850.0,107.0,10.0,100.0,Not specified,Not specified,Not Specified,False,False,False,False,False
华洋 T4L,10380,Huayang,Off road,Domestic,Not Specified,single cylinder four stroke air-cooled 250cc,20.4,15/8500,Not specified,Not specified,Not specified,2110x840x1200,895.0,110.0,9.5,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
华洋 T4,11000,Huayang,Off road,Domestic,Not Specified,single cylinder four stroke air-cooled 250cc,17.0,12.5/8500,Not specified,Not Specified,Not specified,2065x810x1200,940.0,114.0,9.0,120.0,Not specified,Not specified,Not Specified,False,False,False,False,False
华洋 K6R,20400,Huayang,Off road,Domestic,Not Specified,250cc,29.9,22/9500,international 6-speed,none,Not specified,2190x820x1254,950.0,111.0,7.5,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
华洋 T6,24300,Huayang,Off road,Domestic,Not Specified,single cylinder four stroke water-cooled 250cc,25.8,19/9000,international 6-speed,none,Not specified,2150x820x1310,955.0,117.0,7.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
五菱 P20,4099,Wuling,Pedal,domestic,Not Specified,Not Specified,0.5,0.4/,Not Specified,Not specified,Not specified,1640x705x1018,770.0,130.0,9.0,25.0,Not Specified,50,Not Specified,False,True,True,True,False
新感觉 R200 XGJ250-21,8980,new,Sports car,domestic production,Not Specified,single cylinder four stroke air-cooled 200cc,15.64,11.5/7500,international 6-speed,standard,Not specified,1960x730x1060,810.0,149.0,18.0,150.0,Not specified,Not specified,Not Specified,False,False,False,False,False
新感觉 XGJ250-28C,10800,new,Sports car,domestic production,Not Specified,single cylinder four stroke oil cooled 250cc,16.7,12.3/8000,international 6-speed,Not specified,Not specified,1920x750x1075,780.0,130.0,0.0,95.0,Not specified,Not specified,"blue, green",False,False,True,False,True
新感觉 250-21D,13800,new,Sports car,domestic production,Not Specified,single cylinder four stroke air-cooled 250cc,16.7,12.3/8000,Not specified,Not Specified,xx(mm),2000x690x1075,810.0,130.0,0.0,95.0,Not specified,Not specified,"Orange, Green",False,False,True,False,True
新感觉 XGJ300R,17570,new,Sports car,domestic production,Not Specified,single cylinder four stroke water-cooled 279cc,27.87,20.5/,Not specified,Not Specified,Not specified,2000x730x1060,810.0,149.0,13.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新感觉 XGJ250-3,18530,new,Sports car,domestic production,Not Specified,250cc,31.3,23/11000,Not specified,Not Specified,Not specified,Not Specified,780.0,160.0,13.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新感觉 RZ35,18790,new,Sports car,domestic production,Not Specified,320cc,23.79,17.5/7500,5,Not Specified,Not specified,2095x710x1140,780.0,160.0,13.0,135.0,Not specified,Not specified,Not Specified,False,False,False,False,False
新感觉 都市战豹RZ25,18800,new,Sports car,domestic production,Not Specified,249cc,31.27,23/11000,Not specified,Not Specified,Not specified,Not Specified,780.0,160.0,15.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新感觉 250-3D,19980,new,Sports car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 250cc,30.3,22.3/10000,international 6-speed,none,xx(mm),2095x705x1140,780.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
新感觉 XGJ150-19,7200,new,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.6,8.5/8500,Not specified,Not Specified,Not specified,2015x740x1050,780.0,125.0,17.5,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新感觉 XGJ150-32,8500,new,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,12.2,9/7000,Not specified,Not Specified,Not specified,1960x770x1070,780.0,141.0,17.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新感觉 XGJ250-21A,12173,new,Street car,domestic production,Not Specified,single cylinder four stroke oil cooled 250cc,15.64,11.5/7500,5,Not Specified,Not specified,1960,810.0,130.0,13.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
新感觉 XGJ250-6,19600,new,Street car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 250cc,32.0,23.5/11000,international 6-speed,none,Not specified,Not Specified,800.0,160.0,12.5,145.0,Not specified,Not specified,Not Specified,False,False,False,False,False
新感觉 都市战狼RS25,19800,new,Street car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 250cc,32.0,23.5/10000,international 6-speed,none,Not specified,2000x780x1100,780.0,160.0,15.0,140.0,Not specified,Not specified,Not Specified,False,False,False,False,False
新感觉 250-6D,19800,new,Street car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 250cc,30.3,22.3/10000,international 6-speed,standard,xx(mm),2030x830x1120,780.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
新感觉 XGJ150-31赛车版,5680,new,Retro,Domestic,Not Specified,single cylinder four stroke air-cooled 150cc,11.6,8.5/8500,Not specified,Not Specified,Not specified,1920x790x1075,760.0,115.0,9.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新感觉 XGJ250GY-8,7800,new,Off road,Domestic,Not Specified,single cylinder four stroke air-cooled 250cc,16.0,11.5/7500,six speed international,none,Not specified,2214x810x1480,900.0,141.0,7.5,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新感觉 XGJ150GY-6,8100,new,Off road,Domestic,Not Specified,single cylinder four stroke air-cooled 150cc,12.0,8.5/8500,"is constantly engaged in fifth gear, while the",is,Not specified,2080x840x1170,860.0,131.0,10.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新感觉 XGJ250GY-7,11000,new,Off road,Domestic,Not Specified,"air-cooled, 250cc",16.0,11.5/7500,international five speed,none,Not specified,2075x805x1190,890.0,133.0,9.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
新感觉 150-3C,5980,new,Street car,domestic production,Not Specified,single cylinder four stroke air-cooled 150cc,11.6,8.5/8500,Not specified,Not specified,Not specified,2050x740x1090,870.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
曼肯 M9,7980,Manken,Mini,Domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke air-cooled 150cc,11.3,8.3/8000,international 5-speed,Not specified,Not specified,1820x770x1030,770.0,128.0,8.5,110.0,2,400,Not Specified,False,False,False,False,False
曼肯 灵明,12345,Manken,Mini,Domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke air-cooled 150cc,9.5,7/7500,international 4-speed,standard,Not specified,1680x680x1030,770.0,105.0,5.6,95.0,2.4,Not specified,red and black,False,False,False,False,False
曼肯 灵明-野趣,12980,Manken,Mini,Domestic,Zhejiang Tianying Locomotive Co,single cylinder four stroke air-cooled 150cc,9.5,7/7500,international 4-speed,standard,Not specified,1730x760x1050,750.0,118.0,5.6,95.0,2.4,Not specified,Not Specified,False,False,False,False,False
摩疆 MJ528,29800,Mojiang,Cruising crown prince,Domestic,Chongqing Mojiang Motorcycle Manufacturing Co,inline dual cylinder four stroke water-cooled 500cc,53.8,39.6/8500,international 6-speed,standard,Not specified,2220x830x1150,690.0,196.0,14.0,95.0,4,Not specified,Not Specified,False,False,False,False,True
摩疆 鲍勃,47800,Mojiang,Cruising crown prince,Domestic,Not Specified,V-type twin cylinder four stroke water-cooled 800cc,57.1,42/7000,international 6-speed,standard,Not specified,2310x940x1170,690.0,260.0,0.0,95.0,5.2,Not specified,Not Specified,False,False,False,False,True
摩疆 MJ917,44800,Mojiang,Cruising crown prince,Domestic,Chongqing Mojiang Motorcycle Manufacturing Co,V-type twin cylinder four stroke water-cooled 900cc,61.2,45/7000,international 6-speed,standard,xx(mm),2300x830x1120,690.0,260.0,28.0,120.0,5.3,600,"Dark Orange, Dark Green",False,False,False,False,False
摩疆 MJ PRO,48800,Mojiang,Cruising crown prince,Domestic,Chongqing Mojiang Motorcycle Manufacturing Co,V-type twin cylinder four stroke water-cooled 800cc,57.1,42/7000,international 6-speed,standard,Not specified,2640x1000x1345,750.0,130.0,29.0,180.0,Not specified,600,"Xiaoyao Blue, Thunderbolt Silver, Godfather Black, Mighty General Green, Hidden Dragon Black, Escort Red",False,False,True,False,False
摩疆 MJ919,55800,Mojiang,Cruising crown prince,Domestic,Not Specified,V-type twin cylinder four stroke water-cooled 800cc,57.1,42/7000,international 6-speed,standard,Not specified,2560x925x1290,720.0,330.0,29.0,95.0,5.2,Not specified,"Bold Silver, Proud Black",False,False,False,False,True
摩疆 MJ918,Currently no quotation available,Mojiang,Cruising crown prince,Domestic,Not Specified,V-type twin cylinder four stroke water-cooled,61.2,45/7000,Not specified,Not specified,Not specified,22100x0x1340,700.0,250.0,18.0,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
摩疆 MJ917 三叉戟,66800,Mojiang,Three wheel,Domestic,Chongqing Construction Electromechanical Co,V-type twin cylinder four stroke water-cooled 800cc,55.7,41/6000,forward 4th gear+reverse gear,standard,xx(mm),2280x1750x1325,770.0,420.0,28.0,100.0,Not specified,Not specified,"Sky Grey, Desert Red, Aurora Black, Tibetan Gold",False,True,False,False,False
摩疆 金三角 MJ919,69800,Mojiang,Three wheel,Domestic,Not Specified,V-type twin cylinder four stroke water-cooled 800cc,55.7,41/6000,international 6-speed,standard,Not specified,2530x1720x1250,690.0,130.0,29.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,True
摩箭 ZL250-A,19800,Mojian,Sports car,domestic production,Zhejiang Jianying Locomotive Co,inline dual cylinder four stroke water-cooled 250cc,30.5,22.4/,international 6-speed,Not specified,xx(mm),2070x750x1130,770.0,168.0,0.0,120.0,Not specified,Not specified,Not Specified,False,True,False,False,False
摩箭 800RR,35800,Arrow,Sports car,domestic production,Zhejiang Jianying Locomotive Co,inline four cylinder four stroke water-cooled 800cc,115.6,85/10500,international 6-speed,standard,xx(mm),2100x750x1140,780.0,210.0,18.0,95.0,5.51,Not specified,"Speed Silver, Track Black",False,False,False,False,True
克维思 K16-NC250 完整版,23800,Kweisi,Off road,Domestic,Chongqing Kewisi Machinery Manufacturing Co,single cylinder four stroke water-cooled 250cc,25.8,19/9000,international 6-speed,Not specified,Not specified,2200x960x1400,980.0,130.0,8.0,95.0,Not specified,Not specified,Cool Orange,False,False,True,False,False
克维思 K16-CBS300 竞技版,13500,Kvits,Off road,Domestic,Not Specified,single cylinder four stroke water-cooled 300cc,25.2,18.5/8500,international 5-speed,Not specified,Not specified,2170x840x1290,980.0,118.0,8.0,95.0,Not specified,Not specified,"orange, matte gray",False,False,False,False,False
克维思 K16-NC250 竞技版,18800,Kweisi,Off road,Domestic,Chongqing Kewisi Machinery Manufacturing Co,single cylinder four stroke water-cooled 250cc,25.8,19/9000,international 6-speed,Not specified,Not specified,2170x840x1290,980.0,130.0,8.0,95.0,Not specified,Not specified,Not Specified,False,False,True,False,False
克维思 K16-2冲 竞技版,19800,Keweisi,Off road,Domestic,Chongqing Kewisi Machinery Manufacturing Co,single cylinder two-stroke water-cooled 250cc,27.2,20/8000,international 6-speed,Not specified,Not specified,2170x870x1250,930.0,115.0,8.6,95.0,Not specified,Not specified,Cool Orange,False,False,False,False,False
